Link,Name,Availability,Mode,About Course,Duration,Number of meetings
https://www.conted.ox.ac.uk/courses/academic-literacy-online?code=O24P329SKV,Academic Literacy: An Introduction (Online),Available,Online - flexible- Short courses,"If you are new to higher education, or have not studied for some time, you may find it useful to brush up your reading, note-making and essay-writing skills, and to revisit the basic rules of punctuation and grammar.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/brontes-online?code=O24P341LTV,Brontës (Online),Available,Online - flexible- Short courses,"How did three sisters living apparently secluded, eventless lives write such original, passionate and dramatic literature?","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/contemporary-british-fiction-online?code=O24P313LTV,Contemporary British Fiction (Online),Available,Online - flexible- Short courses,"If you have ever been daunted by terms such as 'modernism', 'magic realism' or 'postmodern', this is the course for you.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/ethics-an-introduction-online?code=O24P320PHV,Ethics: An Introduction (Online),Available,Online - flexible- Short courses,"In this introduction to ethics, we shall examine four important ethical theories, applying them to two practical questions: the rights of animals and euthanasia. There will be plenty of opportunity to engage in debate and test your own thinking.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/inequality-and-labour-markets-online?code=O24P517SOV,Inequality and Labour Markets (Online),Available,Online - flexible- Short courses,"Labour market inequality is a defining issue of the 21st century. This course examines the effect of globalisation and technology on inequality, and what we can do to reduce it.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/investigating-the-elizabethans-online?code=O24P399LHV,Investigating the Elizabethans (Online),Available,Online - flexible- Short courses,"The Elizabethan world witnessed some of the most momentous and memorable events in English history. Investigate the experiences and reactions of individuals to these changes, events and issues.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/islamic-art-and-architecture-online?code=O24P308ARV,Islamic Art and Architecture (Online),Available,Online - flexible- Short courses,"This course is for anyone interested in understanding Islamic art and culture, and examines the relationship between faith and art forms.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/philosophy-of-science-online?code=O24P326PHV,Philosophy of Science (Online),Available,Online - flexible- Short courses,"This course introduces key issues in the philosophy of science, including debates about the nature of the scientific method, theories of confirmation, the demarcation of science from non-science, the rationality of theory change, and scientific realism.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/political-philosophy-an-introduction-online?code=O24P303PHV,Political Philosophy: An Introduction (Online),Available,Online - flexible- Short courses,"Political philosophy contains some of the greatest writings in the Western intellectual tradition. This online course introduces you to the central questions concerning the state, by means of classical and contemporary texts.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/shakespeare-online?code=O24P225LTV,Shakespeare (Online),Available,Online - flexible- Short courses,"This course focuses on five Shakespeare plays, covering a range of genres and periods of his writing.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/western-architecture-the-modern-era-online?code=O24P370HCV,Western Architecture: The Modern Era (Online),Available,Online - flexible- Short courses,"Beginning with the vital structural innovations of the late Victorian era, this course traces the rise and spread of modernism in European and American architecture, and concludes by examining contemporary architecture and future possibilities.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/writing-fiction-for-young-adults-online?code=O24P397CRV,Writing Fiction for Young Adults (Online),Available,Online - flexible- Short courses,"Find your own voice and your own niche in writing for young adults, in sub-genres from realism to the supernatural.","Wed 18 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/van-gogh-today?code=O24P115ARJ,Van Gogh Today,Available,Online - live- Short courses- Hybrid - in person or online,"On the occasion of the National Gallery’s upcoming exhibition 'Vincent Van Gogh: Poets and Lovers', we will consider the enduring interest of this painter and how his relevance is being framed anew.","Sat 21 Sep 2024, 9:45am - 5:00pm",NA
https://www.conted.ox.ac.uk/courses/machine-learning-biomedical?code=O24I410RML,Machine Learning of Wearables in Large Scale Biomedical Studies,Available,Short intensive- Professional development,"A residential short course on machine learning of wearables datasets, connecting post-graduate and post-doctoral researchers from academia and industry with experts at Oxford's Big Data Institute and Nuffield Department of Population Health.","Sun 22 Sep 2024- 27 Sep 2024, ",NA
https://www.conted.ox.ac.uk/courses/ancestral-voices-the-earliest-english-literature-online?code=O24P318LTV,Ancestral Voices: The Earliest English Literature (Online),Available,Online - flexible- Short courses,"This course introduces you to Old English literature: from tales of heroism, courage and fellowship, to poignant elegies of love and loss.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/artificial-intelligence-introduction-to-machine-learning?code=O24P646COV,Artificial Intelligence Concepts: Introduction to Machine Learning (Online),Available,Online - flexible- Short courses,"Machine Learning methods lie at the heart of the Artificial Intelligence revolution. This course introduces fundamental concepts to explain Machine Learning methods, potential, and pitfalls to a general audience.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/critical-reasoning-a-romp-through-the-foothills-of-logic-online?code=O24P381PHV,Critical Reasoning: A Romp through the Foothills of Logic (Online),Available,Online - flexible- Short courses,"Reasoning enables us to acquire knowledge, to persuade others and to evaluate their arguments. But only if we reason well. We shall be learning how to recognise, evaluate, construct and analyse arguments, and how to recognise common fallacies.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/europe-of-the-dictators-online?code=O24P379HIV,Europe of the Dictators (Online),Available,Online - flexible- Short courses,Why were the inter-war years a period of such political extremism and dictatorial rule across Europe?,"Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/financial-investment-principles-online?code=O24C046N5Y,Financial Investment Principles (online),Available,Online - live- Short courses- Professional development,"This online course will provide you with a thorough introduction to finance, financial markets and how financial markets interact with the wider economy.","Mon 23 Sep 2024- 04 Oct 2024, 19:00 - 20:30 (UK time)",4 meetings
https://www.conted.ox.ac.uk/courses/international-labour-migration-economics-politics-and-ethics-online?code=O24P383SOV,"International Labour Migration: Economics, Politics and Ethics (Online)",Available,Online - flexible- Short courses,This global course analyses one of the most controversial public policy issues of the 21st century: how to regulate international labour migration and the rights of migrant workers.,"Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/reality-being-and-existence-an-introduction-to-metaphysics-online?code=O24P324PHV,"Reality, Being and Existence: An Introduction to Metaphysics (Online)",Available,Online - flexible- Short courses,"An introduction to metaphysics, the most general investigation of reality. It has been at the centre of philosophy since the beginning of the Western tradition in ancient Greece, and many of its concerns are the same as those of Plato and Aristotle.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/architecture-of-the-english-medieval-cathedral-online?code=O24P546HCV,The Architecture of the English Medieval Cathedral (Online),Available,Online - flexible- Short courses,"This course will explore the English medieval cathedral as a developing institution which survived over a thousand years of religious upheaval and historical change, focusing on the multifaceted architecture of a range of truly great churches.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/history-of-economic-thought-online?code=O24P396SOV,The History of Economic Thought (Online),Available,Online - flexible- Short courses,"This course evaluates the development of economic thought through the eyes of Greek, Chinese, Indian and European traditions before exploring economic thought in the context of the 20th century.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/the-making-of-modern-britain-online?code=O24P351HIV,The Making of Modern Britain (Online),Available,Online - flexible- Short courses,"A modern, democratic, multicultural Britain developed throughout the twentieth century. This course will examine the key social, economic and political influences that have shaped modern Britain.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/who-are-the-celts-online?code=O24P435AHV,Who are the Celts? (Online),Available,Online - flexible- Short courses,"What do we really know about the Celtic world? These ancient communities left us  captivating artefacts and imposing earthworks, but also with more subtle clues from which we can tease out the origins of the peoples who have come to be known as the Celts.","Mon 23 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/managing-workplace-behaviour-for-better-performance-online?code=O24C036N3Y,Managing Workplace Behaviour for Better Performance (online),Available,Online - live- Short courses- Professional development,Learn how to make the work system work and explore the ways in which you can create a more successful physical and psychological workplace.,"Tue 24 Sep 2024- 27 Sep 2024, 11:00-12:30 (UK time)",4 meetings
https://www.conted.ox.ac.uk/courses/understanding-the-self-personality-theories?code=O24P195PCJ,Understanding the Self: Personality Theories,Available,Online - live- Short courses,Who am I? Why am I this way? Why do I make certain choices? Can I change? This online day school presents the main psychological theories of personality and explains how psychologists measure it.,"Tue 24 Sep 2024, 10:00am - 5:00pm",NA
https://www.conted.ox.ac.uk/courses/artificial-intelligence-applications?code=O24P602COV,Artificial Intelligence Concepts: Practical Applications (Online),Available,Online - flexible- Short courses,"Understanding the impact of Artificial Intelligence, now and in the future, is a key skill in the knowledge economy. This course develops a critical understanding of real-world AI applications by introducing various case studies to a general audience.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/bioethics-for-beginners-online?code=O24P346PHV,Bioethics for Beginners (Online),Available,Online - flexible- Short courses,Do you think reproductive cloning is morally permissible? Do you check food labels to exclude buying any with GM ingredients? Would you worry if the government introduced compulsory depositing of DNA in the national DNA bank?,"Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/elizabeth-i-online?code=O24P338HIV,Elizabeth I (Online),Available,Online - flexible- Short courses,"This course will examine the life and reign of Elizabeth I, from her troubled childhood to the death of the aged Virgin Queen. But what do we really know of this iconic queen? Can her reign be accounted a success?","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/english-landscape-gardens-1650-to-the-present-day-online?code=O24P345LHV,English Landscape Gardens: 1650 to the Present Day (Online),Available,Online - flexible- Short courses,"This course is the ideal introduction to English garden history. It provides an overview of five centuries of development, from baroque formalism through the naturalistic landscape style, right up to contemporary cutting-edge planting style.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/english-poetry-of-the-first-world-war-online?code=O24P340LTV,English Poetry of the First World War (Online),Available,Online - flexible- Short courses,Some of the most powerful and moving English poetry of the modern period was written during or about the First World War.,"Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/inter-culturally-speaking-online?code=O24P395TEV,Inter-culturally Speaking (Online),Available,Online - flexible- Short courses,"Are we just who we think we are, or are we also who others think we are? Are we born prejudiced? Can we talk of 'national characteristics'? How can we best live together on this planet?","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/italian-renaissance-art-c1400-c1600-online?code=O24P312ARV,Italian Renaissance Art c.1400-c.1600 (Online),Available,Online - flexible- Short courses,"From Bellini and Botticelli to tapestry and tableware, the material culture of the Italian Renaissance continues to fascinate us to this day. This course is an opportunity to explore this unique period.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/learning-to-look-at-western-architecture-online?code=O24P307HCV,Learning to Look at Western Architecture (Online),Available,Online - flexible- Short courses,This course is designed to enable you to 'read' the architecture of the Western world in a critically informed way.,"Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/minoans-and-mycenaeans-online?code=O24P509AHV,Minoans and Mycenaeans (Online),Available,Online - flexible- Short courses,"The Minoans and Mycenaeans left us with the intriguing Greek Bronze Age sites of Knossos, Mycenae, Pylos and Akrotiri. The excavation of these sites turned archaeologists into superstars, as stunning architecture, sculpture and weaponry were revealed.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/the-first-civilization-mesopotamia-online?code=O24P391AHV,The First Civilization: Mesopotamia (Online),Available,Online - flexible- Short courses,"Civilization was born over 5,000 years ago on the fertile plains of southern Mesopotamia.  Using archaeology and textual sources, this course will build a picture of the Sumerian civilization, one that lies at the root of our own world.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/the-modern-american-novel-an-introduction-online?code=O24P342LTV,The Modern American Novel: An Introduction (Online),Available,Online - flexible- Short courses,"In this course we shall study five key novels of the twentieth century - by Fitzgerald, Faulkner, Silko, Morrison and Roth.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/van-eyck-to-memling-northern-renaissance-art-c1430-1480-online?code=O24P445ARV,Van Eyck to Memling: Northern Renaissance Art c.1430-1480 (Online),Available,Online - flexible- Short courses,"The work of northern Renaissance artists is often incredibly beautiful, with marvellous colours and textures. But there is much more to their work than simple aesthetics, for it evolved from an intriguing range of religious and cultural beliefs.","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/vikings-raiders-traders-and-settlers-online?code=O24P331AHV,"Vikings: Raiders, Traders and Settlers (Online)",Available,Online - flexible- Short courses,"Ravagers, despoilers, pagans, the Vikings are often regarded as bloodthirsty pirates. Yet they were also traders, settlers and farmers with a thriving artistic culture and legal systems.  Using archaeology we examine the varied aspects of the Viking world","Wed 25 Sep 2024- 06 Dec 2024, ",NA
https://www.conted.ox.ac.uk/courses/britain-france-and-the-middle-east-colonial-perfidy-or-civilising-mission?code=O24P453HIW,"Britain, France and The Middle East: Colonial Perfidy or 'Civilising Mission'?",Available,In-person weekly- Short courses,"Britain and France have colonised the countries of The Middle East since the mid-19th century, claiming to deliver enlightenment and democracy. However, from the conquest of Algeria to the Sykes-Picot agreement many challenge the integrity of such claims.","Mon 30 Sep 2024- Mon 02 Dec 2024, 10:30am - 12:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/introduction-to-calculus?code=O24P770MAZ,Calculus: Introduction,Available,Online - live- Short courses,"Calculus is a 'sine qua non' for studying more advanced mathematics, physics, statistics, machine learning and data science. This course will introduce you to the vocabulary and techniques that open the panorama of science and engineering.","Mon 30 Sep 2024- 02 Dec 2024, 7:30 - 8:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/introduction-to-coaching?code=O24P529PCW,Coaching: An Introduction,Available,In-person weekly- Short courses,"This course will help anyone interested in using coaching, whether professionally, as a life skill, or to achieve better results in their work with others. Thought-provoking and practical, this course explores the theory and skills of good coaching.","Mon 30 Sep 2024- Mon 02 Dec 2024, 6:30 - 9:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/collecting-antiquities-in-britain-the-eighteenth-century-to-today?code=O24P467ARW,Collecting Antiquities in Britain: 18th Century to Today,Available,In-person weekly- Short courses,Dive into the complex history of collecting and exhibiting antiquities in Britain and discover how these eighteenth- and nineteenth-century practices continue to impact us in the present day.,"Mon 30 Sep 2024- Mon 02 Dec 2024, 2:00 - 4:00pm",10 meetings
https://www.conted.ox.ac.uk/courses/discover-your-voice?code=O24P552MSW,Discover Your Voice,Available,In-person weekly- Short courses,"This course is designed for anyone who would like to sing, but feels that they can't. Through a mixture of seminars and workshops, consideration will be given to various common vocal problems and their solutions.","Mon 30 Sep 2024- Mon 02 Dec 2024, 7:00 - 9:00pm",10 meetings
https://www.conted.ox.ac.uk/courses/foundations-of-judaism-christianity-and-islam?code=O24P545THW,"Foundations of Judaism, Christianity and Islam",Available,In-person weekly- Short courses,"This course is an introduction to foundations of three great world religions: Judaism, Christianity and Islam; their origins and early historical development; their key texts; some of their key beliefs and practices; and the bases of their ethics.","Mon 30 Sep 2024- Mon 02 Dec 2024, 2:00 - 4:00pm",10 meetings
https://www.conted.ox.ac.uk/courses/french-lower-intermediate-part-1?code=O24P567XFW,French: Lower Intermediate - Part 1,Available,In-person weekly- Short courses,"Improve your language skills, and understanding of the culture, society and daily life in the French-speaking countries. We will be covering listening, speaking and cultural awareness at lower intermediate level.","Mon 30 Sep 2024- Mon 02 Dec 2024, 7:30 - 9:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/getting-started-writing-your-feature-film-screenplay?code=O24P745CRZ,Getting Started Writing Your Feature Film Screenplay,Available,Online - live- Short courses,"Work actively to understand key screenwriting concepts to build your awareness of the needs of your film idea. Develop this into a riveting outline, populate it with engaging characters, and draw your audience into your story world though genre.","Mon 30 Sep 2024- 02 Dec 2024, 1:30 - 2:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/literature-and-the-climate-emergency?code=O24P475LTW,Literature and the Climate Emergency,Available,In-person weekly- Short courses,"This course will explore the capacity of different literary forms, such as speculative fiction, cli-fi, and creative non-fiction, to represent, explore and address climate change and the ‘slow violence’ of the environmental crisis.","Mon 30 Sep 2024- Mon 02 Dec 2024, 10:30am - 12:30pm",10 meetings
https://www.conted.ox.ac.uk/courses/memoir-begin-writing-your-life?code=O24P436CRW,Memoir: Begin Writing Your Life,Available,In-person weekly- Short courses,Everyone has an interesting life story and this course will enable you to present your own.  We shall consider different ways of exploring the life of an individual in ways which recognise each person as unique.,"Mon 30 Sep 2024- Mon 02 Dec 2024, 10:30am - 12:30pm",10 meetings
